,instance name,ICBS time,MAPF-encodings time
0,inst-11-1361714622.param,5.0,0.202
1,inst-1-1361714622.param,5.0,0.262
2,inst-11-799324880.param,5.0,2.701
3,inst-15-1361714622.param,1.53,0.123
4,inst-15-799324880.param,1.46,0.311
5,inst-1-799324880.param,5.0,0.121
6,inst-19-1768974848.param,5.0,0.173
7,inst-19-396479326.param,5.0,0.068
8,inst-19-799324880.param,5.0,0.178
9,inst-22-799324880.param,5.0,1.193
10,inst-23-1361714622.param,5.0,0.495
11,inst-23-799324880.param,5.0,0.155
12,inst-28-1235825111.param,4.07,0.053
13,inst-28-1259217442.param,5.0,0.061
14,inst-28-1361714622.param,3.34,0.06
15,inst-28-1768974848.param,2.57,0.057
16,inst-28-396479326.param,2.54,0.058
17,inst-28-586273567.param,3.18,0.059
18,inst-30-1557483814.param,5.0,2.892
19,inst-31-1113505286.param,1.17,0.055
20,inst-31-1235825111.param,5.0,0.288
21,inst-31-1361714622.param,1.69,0.596
22,inst-31-1557483814.param,1.53,0.061
23,inst-31-2062904689.param,1.3,0.132
24,inst-3-1361714622.param,5.0,0.079
25,inst-31-554373760.param,1.84,0.063
26,inst-31-799324880.param,1.71,0.066
27,inst-32-1155525382.param,3.9,4.528
28,inst-32-1259217442.param,2.87,4.258
29,inst-32-586273567.param,2.11,1.048
30,inst-33-1062464252.param,2.46,2.919
31,inst-33-1113505286.param,1.79,0.107
32,inst-33-1220223230.param,1.0,0.105
33,inst-33-2062904689.param,3.51,2.766
34,inst-33-396479326.param,1.05,0.053
35,inst-33-554373760.param,1.77,0.264
36,inst-33-586273567.param,2.42,0.053
37,inst-33-799324880.param,1.74,0.3
38,inst-34-1113505286.param,1.35,0.061
39,inst-34-1557483814.param,1.08,0.13
40,inst-34-1768974848.param,5.0,0.063
41,inst-34-2062904689.param,3.04,0.162
42,inst-36-1557483814.param,5.0,3.327
43,inst-36-586273567.param,5.0,0.317
44,inst-3-799324880.param,5.0,0.078
45,inst-43-1557483814.param,5.0,1.723
46,inst-43-586273567.param,5.0,0.069
47,inst-45-1557483814.param,5.0,3.567
48,inst-45-586273567.param,5.0,3.672
49,inst-4-799324880.param,5.0,0.085
50,inst-48-1235825111.param,5.0,1.271
51,inst-49-1235825111.param,1.22,0.054
52,inst-52-1768974848.param,1.78,0.076
53,inst-53-1113505286.param,4.53,0.062
54,inst-53-1235825111.param,1.81,1.173
55,inst-55-1113505286.param,2.01,0.206
56,inst-55-1220223230.param,1.55,0.212
57,inst-55-1259217442.param,1.71,0.059
58,inst-55-396479326.param,4.23,1.001
59,inst-55-586273567.param,1.0,0.056
60,inst-56-1113505286.param,2.58,0.058
61,inst-56-1235825111.param,1.37,0.062
62,inst-57-1113505286.param,5.0,0.105
63,inst-57-1235825111.param,1.69,2.602
64,inst-57-1768974848.param,3.15,0.119
65,inst-5-799324880.param,5.0,4.332
66,inst-58-1113505286.param,5.0,4.185
67,inst-58-1235825111.param,5.0,0.174
68,inst-60-1113505286.param,4.5,0.076
69,inst-60-1235825111.param,4.94,0.092
70,inst-61-1113505286.param,2.27,0.976
71,inst-61-1235825111.param,1.52,0.097
72,inst-6-1361714622.param,5.0,0.4
73,inst-63-1113505286.param,1.7,0.121
74,inst-63-1235825111.param,1.2,0.059
75,inst-63-1557483814.param,2.82,0.056
76,inst-63-2062904689.param,1.58,0.011
77,inst-63-396479326.param,4.15,3.672
78,inst-63-586273567.param,1.47,1.553
79,inst-64-2062904689.param,2.58,0.066
80,inst-65-1557483814.param,2.94,0.066
81,inst-67-1113505286.param,1.36,0.058
82,inst-67-1220223230.param,1.46,1.179
83,inst-67-1361714622.param,2.34,0.053
84,inst-67-2062904689.param,1.48,0.056
85,inst-67-554373760.param,1.79,0.323
86,inst-29-799324880.param,0.0,5.0
87,inst-30-1557483814.param(1),4.94,2.286
88,inst-32-1062464252.param,1.11,2.199
89,inst-32-1113505286.param,4.51,3.511
90,inst-32-1220223230.param,2.77,2.283
91,inst-32-1259217442.param(1),0.76,1.647
92,inst-32-1557483814.param,2.97,1.081
93,inst-32-396479326.param,2.13,1.392
94,inst-33-1155525382.param,1.59,2.277
95,inst-33-1557483814.param,2.33,2.724
96,inst-37-1062464252.param,0.38,1.555
97,inst-37-1259217442.param,2.02,3.597
98,inst-37-228165673.param,0.7,1.92
99,inst-37-799324880.param,0.16,1.111
100,inst-50-1235825111.param,4.51,2.665
101,inst-50-1557483814.param,2.18,2.318
102,inst-53-1235825111.param(1),0.0,5.0
103,inst-55-1220223230.param(1),0.9,2.114
104,inst-55-1557483814.param,1.3,1.753
105,inst-55-228165673.param,3.33,5.0
106,inst-55-554373760.param,1.0,2.236
107,inst-55-799324880.param,0.53,2.188
108,inst-60-1220223230.param,1.9,2.565
109,inst-60-1235825111.param(1),3.55,3.201
110,inst-60-799324880.param,2.57,1.262
111,inst-66-1155525382.param,0.69,2.084
112,inst-66-1557483814.param,0.78,1.194
113,inst-66-2062904689.param,2.93,2.145
114,inst-66-554373760.param,4.12,1.78
115,inst-66-586273567.param,2.22,1.114
116,inst-66-799324880.param,0.55,1.176
117,inst-67-1557483814.param,0.68,1.755
118,inst-67-1768974848.param,1.27,5.0
119,inst-67-2062904689.param(1),4.03,5.0
120,inst-67-554373760.param(1),3.06,3.187
